event_id,event_categories,event_name,event_slug,post_content,event_start_date,event_end_date,event_all_day,featured_image,location_name,location_slug,location_address,location_town,location_state,location_country,location_postcode,location_region,location_latitude,location_longitude
2469,Featured,"Maker Faire Eindhoven - 2023",Maker_Faire_Eindhoven_-_2023,"For more information, check out the <a target=""_blank"" href=""https://eindhoven.makerfaire.com/en/en-homepagina/"">Maker Faire Eindhoven - 2023 website.</a>","09/23/2023 12:00:00 am","09/23/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2023/03/MFEindhoven_2023.png,"Maker Faire Eindhoven",Maker_Faire_Eindhoven_Eindhoven_NL_5611KW_Europe,,Eindhoven,,NL,5611KW,Europe,51.448402,5.311428
2487,Community,"Maker Faire Mladá Boleslav - 2023",Maker_Faire_Mladá_Boleslav_-_2023,"For more information, check out the <a target=""_blank"" href=""https://makerfaire.cz"">Maker Faire Mladá Boleslav - 2023 website.</a>","09/23/2023 12:00:00 am","09/23/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2023/04/MFMladaBoleslav_2023.png,"Maker Faire Mladá Boleslav",Maker_Faire_Mladá_Boleslav_Mladá_Boleslav_CZ_Europe,,"Mladá Boleslav",,CZ,,Europe,49.738319,13.379408
2452,Community,"Maker Faire Sussex County - 2023",Maker_Faire_Sussex_County_-_2023,"For more information, check out the <a target=""_blank"" href=""https://sussexcounty.makerfaire.com/"">Maker Faire Sussex County - 2023 website.</a>","09/30/2023 12:00:00 am","10/01/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2022/11/MF_SussexCounty_2023.png,"Maker Faire Sussex County",Maker_Faire_Sussex_County_Lafayette_New_Jersey_US_07848_North_America,,Lafayette,"New Jersey",US,07848,"North America",41.117958,-74.700119
2470,Featured,"Maker Faire Zagreb - 2023",Maker_Faire_Zagreb_-_2023,"For more information, check out the <a target=""_blank"" href=""https://zagreb.makerfaire.com/"">Maker Faire Zagreb - 2023 website.</a>","09/30/2023 12:00:00 am","10/01/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2023/03/MFZagreb_2023.png,"Maker Faire Zagreb",Maker_Faire_Zagreb_Zegreb_HR_Europe,,Zegreb,,HR,,Europe,45.812538,15.963050
2426,Featured,"Maker Faire Coney Island - 2023",Maker_Faire_Coney_Island_-_2023,"For more information, check out the <a target=""_blank"" href=""https://www.coneyideas.org"">Maker Faire Coney Island - 2023 website.</a>","10/06/2023 12:00:00 am","10/08/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2022/11/MF_ConeyIsland_2023.png,"Maker Faire Coney Island",Maker_Faire_Coney_Island_1208_Surf_Ave_Coney_Island_New_York_US_11224_North_America,"1208 Surf Ave","Coney Island","New York",US,11224,"North America",40.575291,-73.982094
2441,Community,"Maker Faire Baton Rouge - 2023",Maker_Faire_Baton_Rouge_-_2023,"For more information, check out the <a target=""_blank"" href=""https://batonrouge.makerfaire.com/"">Maker Faire Baton Rouge - 2023 website.</a>","10/07/2023 12:00:00 am","10/07/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2022/12/BatonRouge_2023_RMT.png,"Maker Faire Baton Rouge",Maker_Faire_Baton_Rouge_Baton_Rouge_Louisiana_US_70806_North_America,,"Baton Rouge",Louisiana,US,70806,"North America",30.441399,-91.251503
2494,Community,"Maker Faire Liberec - 2023",Maker_Faire_Liberec_-_2023,"For more information, check out the <a target=""_blank"" href=""https://makerfaire.cz/"">Maker Faire Liberec - 2023 website.</a>","10/07/2023 12:00:00 am","10/07/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2023/04/MFLiberec_2023.png,"Maker Faire Liberec",Maker_Faire_Liberec_Liberec_CZ_0,,Liberec,,CZ,,0,50.766094,14.97963
2465,Featured,"Maker Faire Tokyo - 2023",Maker_Faire_Tokyo_-_2023,"For more information, check out the <a target=""_blank"" href=""https://makezine.jp/event/mft2023/"">Maker Faire Tokyo - 2023 website.</a>","10/14/2023 12:00:00 am","10/15/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2023/03/MF_Tokyo_2023.png,"Maker Faire Tokyo",Maker_Faire_Tokyo_Tokyo_JP_135-0063_Asia,,Tokyo,,JP,135-0063,Asia,35.630051,139.791565
2459,Featured,"Maker Faire Rome - 2023",Maker_Faire_Rome_-_2023,"For more information, check out the <a target=""_blank"" href=""https://makerfairerome.eu/en/"">Maker Faire Rome - 2023 website.</a>","10/20/2023 12:00:00 am","10/22/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2023/02/MF_Rome_2023.png,"Maker Faire Rome",Maker_Faire_Rome_Rome_IT_Europe,,Rome,,IT,,Europe,41.869564,12.472530
2446,Featured,"Maker Faire Orange County - 2023",Maker_Faire_Orange_County_-_2023,"For more information, check out the <a target=""_blank"" href=""https://oc.makerfaire.com/"">Maker Faire Orange County - 2023 website.</a>","10/21/2023 12:00:00 am","10/21/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2023/01/MF_ROC_2023.png,"Maker Faire Orange County",Maker_Faire_Orange_County_Irvine_California_US_92649_North_America,,Irvine,California,US,92649,"North America",33.681328,-117.797813
2490,Community,"Maker Faire Brno - 2023",Maker_Faire_Brno_-_2023,"For more information, check out the <a target=""_blank"" href=""https://makerfaire.cz"">Maker Faire Brno - 2023 website.</a>","10/21/2023 12:00:00 am","10/22/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2023/04/MFBrno_2023.png,"Maker Faire Brno",Maker_Faire_Brno_Brno_CZ_Europe,,Brno,,CZ,,Europe,49.201984,16.437878
2495,Community,"Maker Faire Olomouc - 2023",Maker_Faire_Olomouc_-_2023,"For more information, check out the <a target=""_blank"" href=""https://makerfaire.cz/"">Maker Faire Olomouc - 2023 website.</a>","11/04/2023 12:00:00 am","11/04/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2023/04/MF_Olomouc_2023.png,"Maker Faire Olomouc",Maker_Faire_Olomouc_Olomouc_CZ_0,,Olomouc,,CZ,,0,49.595127,17.209496
2463,Community,"Maker Faire Pensacola - 2023",Maker_Faire_Pensacola_-_2023,"For more information, check out the <a target=""_blank"" href=""https://pensacola.makerfaire.com/"">Maker Faire Pensacola - 2023 website.</a>","11/11/2023 12:00:00 am","11/11/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2023/01/MF_Pensacola_2023.png,"Maker Faire Pensacola",Maker_Faire_Pensacola_Pensacola_Florida_US_32502_North_America,,Pensacola,Florida,US,32502,"North America",30.409414,-87.213020
2476,Community,"Maker Faire Rochester - 2023",Maker_Faire_Rochester_-_2023,"For more information, check out the <a target=""_blank"" href=""https://rochester.makerfaire.com/"">Maker Faire Rochester - 2023 website.</a>","11/18/2023 12:00:00 am","11/18/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2022/05/MF_Rochester_2022.png,"Maker Faire Rochester",Maker_Faire_Rochester_Rochester_New_York_US_14604_North_America,,Rochester,"New York",US,14604,"North America",43.156261,-77.611275
